Manufacturer,Regulatory Class,Vehicle Type,Model Year,2-Cycle MPG,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Footprint (sq. ft.),Engine Displacement,Horsepower (HP),Acceleration (0-60 time in seconds),HP/Engine Displacement,HP/Weight (lbs),Ton-MPG (Real-World),Drivetrain - Front,Drivetrain - 4WD,Drivetrain - Rear,Transmission - Manual,Transmission - Automatic,Transmission - Lockup,.Transmission - CVT (Hybrid),Transmission - Other,Fuel Delivery - Carbureted,Fuel Delivery - Gasoline Direct Injection (GDI),Fuel Delivery - Port Fuel Injection,Fuel Delivery - Throttle Body Injection,Fuel Delivery - Other,Powertrain - Diesel,Powertrain - Electric Vehicle (EV),Powertrain - Plug-in Hybrid Electric Vehicle (PHEV),Powertrain - Fuel Cell Vehicle  (FCV),Powertrain - Other (incl. CNG),Powertrain - Gasoline Hybrid,Powertrain - Gasoline,Turbocharged Engine,Stop/Start,Cylinder Deactivation,Multivalve Engine,Variable Valve Timing,7+ Gears,Average Number of Gears,Transmission - CVT (Non-Hybrid)
Toyota,All,All,2013,32.2767,25.02957,21.85083,28.11503,355.01929,406.67409,316.05162,3924.325,48.08986,174.7963,203.1157,8.8493,1.154869,0.050621,51.28698,0.631,0.275,0.093,0.021,0,0.823,0.15,0,0,0.005,0.995,0,0,0,0,0.005,0,0,0.15,0.845,0,0,0,1,1,0.008,5.3,0.006
Toyota,All,All,2014,32.79327,25.41825,22.13123,28.62559,349.5662,401.49805,310.38954,3898.327,48.61576,174.8861,201.5949,8.7621,1.151305,0.050526,51.43275,0.666,0.241,0.092,0.014,0,0.726,0.12,0,0,0.02,0.979,0,0.001,0,0.001,0.006,0,0,0.12,0.874,0,0,0,0.999,0.999,0.015,5.4,0.14
Toyota,All,All,2015,32.16352,24.97159,21.74225,28.12268,355.8847,408.7441,316.0083,3958.409,48.38213,175.1481,205.6819,8.7684,1.172059,0.050885,51.1468,0.607,0.306,0.088,0.01,0,0.752,0.112,0,0,0.017,0.983,0,0,0,0,0.002,0,0,0.112,0.886,0.015,0,0,1,1,0.019,5.4,0.126
Toyota,All,All,2016,32.1998,25.0145,21.80008,28.14521,355.23027,407.61534,315.7117,3986.353,48.51502,175.2316,210.6194,8.6414,1.202652,0.051582,51.27594,0.581,0.331,0.087,0.01,0,0.738,0.092,0,0,0.016,0.984,0,0,0,0,0,0,0,0.092,0.907,0.034,0,0,1,1,0.062,5.5,0.16
Toyota,All,All,2017,32.42168,25.27732,22.00668,28.46929,351.04903,403.15161,311.74321,4059.173,49.00221,176.754,215.7714,8.5229,1.221114,0.05193,53.20132,0.56,0.368,0.073,0.01,0,0.761,0.082,0,0,0.016,0.983,0,0.001,0,0,0.013,0.001,0,0.082,0.903,0.03,0.064,0,0.999,0.999,0.196,5.9,0.147
Toyota,All,All,2018,32.83725,25.51833,22.24982,28.69875,347.94466,399.01539,309.41741,4083.356,48.78112,178.443,220.1509,8.3644,1.236685,0.052944,54.05178,0.542,0.39,0.068,0.005,0,0.781,0.076,0,0,0.012,0.988,0,0.001,0,0,0.008,0.001,0,0.076,0.916,0.025,0.08,0,0.999,0.999,0.329,6,0.137
Toyota,All,All,2019,33.3364,25.77019,22.47968,28.96909,344.62329,395.05155,306.58092,4120.397,49.45629,181.6962,232.7357,7.9535,1.290984,0.055764,55.23355,0.502,0.431,0.068,0.009,0,0.768,0.094,0,0,0.011,0.988,0,0.001,0,0,0.004,0.001,0,0.094,0.901,0.029,0.119,0,0.999,0.999,0.495,6.2,0.13
Toyota,All,All,2020,34.09559,26.20098,23.07788,29.17995,338.97392,384.81063,304.39535,4099.696,49.24414,177.4215,227.1451,7.8436,1.292097,0.054582,56.54187,0.521,0.419,0.061,0.011,0,0.684,0.125,0,0,0.016,0.984,0,0,0,0,0.006,0,0,0.125,0.869,0.028,0.133,0,1,1,0.42,5.8,0.181
VW,All,All,1975,26.44529,22.60053,19.9855,26.90294,393.22085,444.67234,330.3357,2374.728,-,95.2832,69.2166,-,0.725273,0.029006,26.92799,0.735,0,0.265,0.724,0.247,0.029,0,0,0.543,-,0.454,0.003,0,0,0,0,0,0,0,1,-,-,0,-,-,-,-,0
VW,All,All,1976,27.43937,23.38854,21.31225,26.5499,379.97238,416.9903,334.72825,2349.943,-,100.0871,74.4562,-,0.740922,0.031641,27.58845,0.794,0,0.206,0.72,0.28,0,0,0,0.612,-,0.382,0.006,0,0,0,0,0,0,0,1,-,-,0,-,-,-,-,0
VW,All,All,1977,28.76551,24.56012,21.97323,28.68808,364.25463,407.01094,311.99692,2365.743,-,99.4123,74.433,-,0.744583,0.031434,29.64827,0.886,0,0.114,0.808,0.192,0,0,0,0.276,-,0.649,0.007,0,0.068,0,0,0,0,0,0.932,-,-,0,-,-,-,-,0
VW,All,All,1978,27.08424,23.10906,20.8176,26.70128,388.84179,431.45036,336.76464,2420.151,-,97.998,75.4274,14.8144,0.763559,0.030872,28.9083,0.894,0,0.106,0.738,0.262,0,0,0,0.01,-,0.857,0.009,0,0.124,0,0,0,0,0,0.876,-,-,0,-,-,-,-,0
VW,All,All,1979,27.97937,23.86864,21.54529,27.49206,379.83061,420.3295,330.33196,2432.878,-,98.7324,72.4974,16.9024,0.728157,0.029662,30.42353,0.868,0,0.132,0.793,0.207,0,0,0,0,-,0.746,0.04,0,0.213,0,0,0,0,0,0.787,-,-,0,-,-,0,4,0
VW,All,All,1980,30.51841,26.0367,23.49676,30.00033,353.77702,391.45425,307.72708,2420.231,-,99.5523,69.6899,17.6086,0.691177,0.02877,33.19173,0.929,0,0.071,0.845,0.155,0,0,0,0.033,-,0.547,0.067,0,0.353,0,0,0,0,0,0.647,-,-,0,-,-,0,4.1,0
